crossover_rate;mutation_rate;Fitness;Solution Found At;Max Iteration;Time
0,000831637;0,314603993;0,0625;43;49;2764,710505
0,27691372;0,643895235;0,0625;31;33;2653,51862
0,258984175;0,035593922;0,0625;16;49;1850,149934
0,53719124;0,03647915;0,0625;36;49;2141,446481
0,532285111;0,848264057;0,0625;26;28;2673,880803
0,856638336;0,657398751;0,058823529;25;30;2653,924861
0,81760114;0,406472467;0,058823529;34;36;2664,009822
0,75431813;0,932103528;0,058823529;25;27;2724,137584
0,064346309;0,500077712;0,058823529;36;40;2714,205996
0,694426258;0,638449583;0,0625;30;31;2663,916256
0,062489004;0,42954832;0,066666667;38;41;2694,026982
0,962464015;0,72385629;0,058823529;49;49;4050,23912
0,86775823;0,875269661;0,058823529;49;49;4281,506243
0,536765845;0,852732187;0,058823529;48;49;4161,527902
0,616167954;0,724019133;0,058823529;48;49;3799,73588
0,970823442;0,186031158;0,0625;48;49;2593,228847
0,329722241;0,495816796;0,0625;48;49;3095,98875
0,142647632;0,308227955;0,0625;43;49;2624,760732
0,327629035;0,167997243;0,058823529;34;49;2093,77884
0,219173203;0,554303488;0,0625;38;49;3318,7967
0,982924857;0,470798889;0,0625;39;49;3297,659007
0,806637769;0,235576824;0,0625;31;49;2664,661753
0,755820518;0,253337912;0,0625;47;49;2724,48557
0,720521119;0,97559584;0,058823529;46;49;4553,167794
0,7218915;0,123176106;0,058823529;45;49;2181,905874
0,992360781;0,050348639;0,0625;46;49;2201,614553
0,029244083;0,92749881;0,0625;49;49;4492,738866
0,623045574;0,688666308;0,055555556;42;49;3869,872351
0,013789398;0,071337594;0,066666667;45;49;1619,506704
0,466329412;0,957790841;0,058823529;48;49;4542,597849
0,684767286;0,778428725;0,0625;48;49;4000,370451
0,0381129;0,501800837;0,0625;46;49;3065,922467
0,539431065;0,964520607;0,0625;47;49;4673,722553
0,668464489;0,65882477;0,058823529;42;49;3768,936779
0,820323615;0,324067022;0,058823529;37;49;3106,213981
0,233661684;0,675339994;0,066666667;41;49;3688,49546
0,485396536;0,914081095;0,058823529;48;49;4371,486524
0,684638031;0,263826934;0,0625;37;49;2633,839588
0,627405592;0,242037684;0,0625;43;49;2433,188696
0,090367625;0,257570703;0,058823529;35;49;2332,387443
0,06560886;0,449329971;0,058823529;43;49;3015,31145
0,062777954;0,510932227;0,0625;42;49;3216,168454
0,878157893;0,473841042;0,058823529;40;49;3187,698435
0,235109434;0,856708633;0,058823529;47;49;4276,465687
0,329863407;0,94711551;0,058823529;41;49;4548,891327
0,770996018;0,666969063;0,058823529;48;49;3840,828227
0,860057922;0,912711471;0,058823529;49;49;4402,252689
0,516513905;0,290653944;0,0625;35;49;2644,885233
0,009498372;0,63949312;0,0625;46;49;3715,938453
0,73304466;0,681416115;0,058823529;44;49;3833,504877
0,570926003;0,003805037;0,058823529;46;49;1810,298338
0,254564094;0,074653697;0,0625;33;49;1730,481292
0,176847138;0,27892874;0,066666667;48;49;2376,403985
0,030086928;0,723493256;0,066666667;47;49;3870,563024
0,981432368;0,191431169;0,058823529;48;49;2697,473939
0,660179919;0,129246838;0,058823529;31;49;2172,111386
0,262093837;0,228333498;0,058823529;46;49;2232,347831
0,777510661;0,955306404;0,0625;48;49;4614,383972
0,325951983;0,236400156;0,0625;49;49;2302,905248
0,123695015;0,370418805;0,058823529;47;49;2673,986476
0,063758403;0,83159862;0,058823529;48;49;3930,290387
0,092403763;0,982409485;0,058823529;46;49;4825,301625
0,356869227;0,656573185;0,0625;45;49;3669,242717
