Population Size;Elitism Size;Fitness;Time
24;2;0.25;383.7714672088623
24;4;0.25;394.1189036369324
20;8;0.25;444.27463960647583
36;2;0.25;253.14752411842346
28;6;0.25;344.1132276058197
48;6;0.25;162.93584871292114
40;4;0.25;173.23300409317017
24;4;0.25;393.98130321502686
44;8;0.25;203.47561740875244
44;4;0.25;243.09344816207886
40;4;0.25;183.09775304794312
16;6;0.3333333333333333;373.9465470314026
28;6;0.25;343.8512020111084
20;4;0.25;273.6795434951782
32;6;0.25;293.7594723701477
36;8;0.25;213.2545666694641
28;2;0.25;323.85709953308105
