Population Size;Elitism Size;Fitness;Time
44;4;0.25;172.49634456634521
24;2;0.25;81.96612763404846
40;8;0.25;182.49771213531494
36;2;0.25;132.30399537086487
16;6;0.3333333333333333;373.28512048721313
28;2;0.25;112.19748425483704
40;4;0.25;122.19328832626343
20;6;0.25;112.12761211395264
20;6;0.25;112.20949387550354
20;2;0.25;162.4780309200287
44;2;0.25;122.32430267333984
44;2;0.25;122.2055835723877
16;4;0.25;132.55469942092896
12;6;0.25;112.20609760284424
16;4;0.25;142.5057725906372
44;4;0.25;122.29346990585327
36;6;0.25;92.08430027961731
32;2;0.25;112.12564468383789
24;4;0.25;82.0636978149414
28;2;0.25;112.16594529151917
