crossover_rate;mutation_rate;Fitness;Solution Found At;Max Iterations Found;Time
0,114993288;0,767718016;0,1;24;24;484,0131116
0,950080024;0,536956366;0,1;2;2;61,968081
0,846061947;0,6610152;0,1;7;7;122,2599628
0,810115414;0,532201941;0,1;2;2;71,84094357
0,070637709;0,027830536;0,1;5;5;62,49681115
0,66955727;0,160516709;0,1;10;10;112,3007305
0,359087656;0,610838899;0,1;3;3;71,99743676
0,329573507;0,244382601;0,1;7;7;91,91932583
0,996041273;0,958742711;0,1;5;5;112,2011156
0,417847671;0,296650073;0,1;2;2;51,54219484
0,226723703;0,381712223;0,1;2;2;62,23159528
0,527526357;0,84324727;0,1;9;9;162,533592
0,142914038;0,819652276;0,1;6;6;112,2585011
0,041505206;0,764489798;0,1;13;13;202,4490304
0,595601547;0,713241473;0,1;25;25;353,5317338
0,915834835;0,866785635;0,1;20;20;313,2099771
0,252967758;0,20171038;0,1;2;2;62,02475977
0,180721391;0,586036856;0,1;24;24;293,442801
0,388457505;0,355560032;0,1;2;2;51,57755375
0,294240834;0,332781855;0,1;2;2;51,63313413
0,604144766;0,443602946;0,1;3;3;82,02625895
0,665419512;0,068688357;0,1;14;14;122,3853734
0,731014991;0,113109452;0,1;4;4;72,09116054
0,756476655;0,910820168;0,1;4;4;102,3989537
0,560550093;0,415746018;0,1;6;6;102,1828959
0,491833607;0,697459781;0,1;19;19;272,8551829
0,797570442;0,187784969;0,1;17;17;172,5843916
0,000168804;0,975776207;0,1;7;7;142,4412527
0,893959324;0,049700846;0,1;2;2;51,61058068
0,452572271;0,471499733;0,1;4;4;92,22027016
0,169682144;0,440625704;0,1;3;3;72,17022324
0,545725723;0,152745816;0,1;11;11;122,1068344
0,432208269;0,131203495;0,1;5;5;72,16966224
0,411027937;0,422815083;0,1;18;18;212,8180249
0,225664599;0,743903762;0,1;20;20;282,7773767
0,66955727;0,674754182;0,1;1;1;51,53696275
0,359087656;0,745418352;0,1;5;5;102,2913613
0,613688106;0,796404671;0,1;3;3;82,11155534
0,996041273;0,33285117;0,1;4;4;82,02360606
0,293315867;0,881032571;0,1;4;4;92,1781559
0,551207382;0,325594985;0,1;8;8;112,1124797
0,527526357;0,473945026;0,1;8;8;132,4679146
0,291592608;0,819652276;0,1;21;21;303,3178146
0,063283413;0,961549736;0,1;18;18;292,8448424
0,405526628;0,760832579;0,1;17;17;252,823797
0,596341705;0,526718303;0,1;8;8;132,2508068
0,125478589;0,220544744;0,1;2;2;51,3698566
0,104376808;0,488577585;0,1;4;4;82,02955103
0,388457505;0,470617092;0,1;10;10;152,1747885
0,067761253;0,644977249;0,1;3;3;82,20884657
0,473896997;0,632364437;0,1;7;7;122,1970325
0,213354743;0,119473139;0,1;3;3;61,94459629
0,501398855;0,644893614;0,1;16;16;232,9454322
0,389070947;0,263469242;0,1;2;2;51,41421342
0,479242952;0,226616974;0,1;4;4;71,91575742
0,01950652;0,330859412;0,1;2;2;51,53094244
0,098945752;0,647889912;0,1;16;16;222,598706
0,665891231;0,262011269;0,1;12;12;142,6052594
0,369871054;0,194114149;0,1;10;10;112,1180909
0,155618456;0,231406033;0,1;2;2;61,83316946
0,169682144;0,440625704;0,1;3;3;61,8588419
0,169682154;0,440625704;0,1;3;3;61,99617791
0,169682144;0,440625714;0,1;3;3;71,70395947
