Population Size;Elitism Size;Fitness;Solution Found At;Max Iterations Found;Time
16;4;0,1;6;6;222,8718355
16;4;0,1;6;6;62,00644326
48;6;0,1;1;1;72,09937763
44;4;0,1;3;3;92,08221126
32;8;0,1;3;3;71,82026649
12;6;0,111111111;48;49;192,6586771
36;2;0,1;3;3;81,9888804
40;8;0,1;4;4;92,19124556
44;8;0,1;2;2;81,99702978
24;8;0,1;11;11;102,1987736
48;4;0,1;1;1;72,04113173
36;4;0,1;1;1;61,98509073
24;6;0,1;19;19;152,2174897
28;2;0,1;11;11;132,0802975
40;4;0,1;3;3;92,03657103
20;6;0,1;44;44;242,8435249
24;4;0,1;11;11;112,1884797
16;2;0,1;20;20;132,2961538
32;2;0,1;10;10;152,5219738
28;6;0,1;3;3;71,92839336
44;8;0,1;2;2;81,93874621
44;4;0,1;3;3;92,17202687
16;8;0,1;9;9;71,72825217
24;6;0,1;19;19;142,1316369
36;8;0,1;8;8;132,5979848
40;6;0,1;3;3;91,89501762
20;6;0,1;44;44;243,0273004
32;4;0,1;14;14;192,6706891
20;8;0,1;3;3;51,45159578
28;8;0,1;7;7;92,13733983
12;4;0,1;20;20;112,1149459
16;4;0,1;6;6;72,08867145
24;6;0,1;19;19;152,3456659
20;6;0,1;44;44;242,9018412
20;6;0,1;44;44;242,7969437
12;4;0,1;20;20;112,2653167
36;4;0,1;1;1;62,00434828
24;4;0,1;11;11;112,0131209
12;6;0,111111111;48;49;192,5486114
16;4;0,1;6;6;72,05652165
44;4;0,1;3;3;92,19377065
36;6;0,1;1;1;61,93757129
44;4;0,1;3;3;92,04944277
16;4;0,1;6;6;61,79797935
40;2;0,1;9;9;162,2654667
20;4;0,1;43;43;273,0346816
12;4;0,1;20;20;112,3655891
36;6;0,1;1;1;61,96511531
24;2;0,1;18;18;162,5154405
12;6;0,111111111;48;49;192,8887541
48;6;0,1;1;1;72,05161667
28;6;0,1;3;3;71,9969368
20;6;0,1;44;44;242,7290106
20;4;0,1;43;43;272,971004
36;6;0,1;1;1;61,96486163
24;6;0,1;19;19;142,3335874
16;6;0,1;6;6;62,0117991
28;6;0,1;3;3;61,93774056
16;8;0,1;9;9;72,07879496
24;8;0,1;11;11;102,0469489
12;4;0,1;20;20;112,1726718
12;4;0,1;20;20;112,1450856
12;4;0,1;20;20;111,970434
