Population Size;Elitism Size;Fitness;Solution Found At;Max Iterations Found;Time
12;6;0,111111111;48;49;192,7241292
48;4;0,1;1;1;71,97737837
12;2;0,1;4;4;51,54766488
48;8;0,1;1;1;71,94553304
32;8;0,1;3;3;72,06086397
40;6;0,1;3;3;92,20924163
16;2;0,1;20;20;132,297972
24;6;0,1;19;19;152,2970276
24;8;0,1;11;11;102,1432776
16;6;0,1;6;6;61,73794651
36;2;0,1;3;3;81,79059935
44;6;0,1;3;3;91,94898343
40;8;0,1;4;4;102,1406569
36;2;0,1;3;3;82,0232501
16;4;0,1;6;6;61,91015649
36;8;0,1;8;8;132,2138584
28;6;0,1;3;3;62,04551125
24;6;0,1;19;19;142,2634757
32;8;0,1;3;3;71,85439706
12;6;0,111111111;48;49;192,717685
36;8;0,1;8;8;132,3412926
36;8;0,1;8;8;122,3241203
32;2;0,1;10;10;152,3237863
16;2;0,1;20;20;132,3483679
28;6;0,1;3;3;61,92254853
40;4;0,1;3;3;91,90677094
36;8;0,1;8;8;122,4219525
